"BIRTH_DATE","COMPLETED_HIKING","FIRST_NAME","ID","LAST_NAME","MOBILE"
"1990.05.27","","test","96b2a482-854c-44c5-9446-b038bdc8957c","user 01","+123456"
"1999.05.07","","test","de1fa1d0-e610-427e-9cee-befe59d17a8c","user 02","+245647"
"2001.12.06","","test","2e673c7d-e758-4027-b5ed-b5f248ed5ffe","user 03","+368716"
"1994.06.04","","test","b678458c-e7b4-47d0-808d-aa3ff0f2eb7e","user 04","+852478"
"1998.02.03","","test","d05f7220-69fe-4c60-880e-ebda2a002700","user 05","+369853"
"1998.04.03","","test","2fec8ff6-0127-4d61-b1fb-e2db985e5b6e","user 06","+159312"
"1997.08.08","","test","72e56c85-1c7c-4e08-b7ba-09bb24f801d1","user 07","+741258"
"2000.03.09","","test","539a3838-0352-44b9-9f4d-fe2a2e98ea83","user 08","+124564"
"1998.07.18","","test","438a59f5-985c-4648-9aff-ac9a4b68d95c","user 09","+654897"
"1996.11.27","","test","c8f5cec6-ecfe-4db3-8b7a-420bdfec9afd","user 10","+652483"
